timestamp,gender,benefits,location,work_arrangement,employee_count ,position,level,experience,lang_tool,salary_currency,salary
1/31/2023 22:11:16,male,"Meal card, Road/fuel assistance, Company telephone, Supplementary health insurance, Employee stock options, Leaandon certain days",Turkey,Remote,1-50,Backend Developer / Engineer,Senior,9-12 Years,"Java and related frameworks, Python / R, SQL, NoSQL, DevOps tools, Jira / Asana / Trello / Bitrix24 and  similar PM tools, Docker / containerd / Hyper-V / LXC / Podman, Kubernetes, Linux",TRY,55.001 - 70.000
1/31/2023 22:11:54,male,,Turkey,Remote,1-50,Backend Developer / Engineer,Senior,3-5 Years,PHP,TRY,45.001 - 55.000
1/31/2023 22:18:53,female,,Turkey,Office,1-50,Backend Developer / Engineer,Mid,1-3 Years,"Javascript / Typescript and  related frameworks, Cloud tools ( AWS, Azure, GCP etc), NoSQL, Jira / Asana / Trello / Bitrix24 and  similar PM tools, Docker / containerd / Hyper-V / LXC / Podman, Linux",TRY,20.001 - 25.000
1/31/2023 22:19:59,male,"Meal card, Gift vouchers on special occasions, Supplementary health insurance",Turkey,Hybrid,601-1.000,Backend Developer / Engineer,Mid,3-5 Years,"C# / .NET Framework, DevOps tools, Jira / Asana / Trello / Bitrix24 and  similar PM tools, Docker / containerd / Hyper-V / LXC / Podman",TRY,20.001 - 25.000
1/31/2023 22:20:25,unknownm,"Education funds, Employee stock options, Leaandon certain days, Medical leave",Abroad,Remote,51-150,Backend Developer / Engineer,Junior,1-3 Years,"Golang, Cloud tools ( AWS, Azure, GCP etc), SQL, DevOps tools, Jira / Asana / Trello / Bitrix24 and  similar PM tools, Docker / containerd / Hyper-V / LXC / Podman, Kubernetes, Linux",USD,70.001 - 85.000
1/31/2023 22:22:56,male,"Meal card, Supplementary health insurance, Life insurance",Turkey,Hybrid,151-300,Backend Developer / Engineer,Senior,12 Years and Older,"PHP, Cloud tools ( AWS, Azure, GCP etc), SQL, NoSQL, DevOps tools, Jira / Asana / Trello / Bitrix24 and  similar PM tools, Docker / containerd / Hyper-V / LXC / Podman, Kubernetes, Linux",TRY,45.001 - 55.000
1/31/2023 22:27:19,male,"Meal card, Road/fuel assistance, Supplementary health insurance",Turkey,Office,601-1.000,Backend Developer / Engineer,Mid,3-5 Years,"C# / .NET Framework, Javascript / Typescript and  related frameworks",TRY,37.001 - 45.000
1/31/2023 22:27:47,female,"Road/fuel assistance, Gift vouchers on special occasions, Retirement planning services, Disability insurance",Abroad,Hybrid,1.000-5.000,Backend Developer / Engineer,Junior,0-1 Years,"Kotlin, Cloud tools ( AWS, Azure, GCP etc), Jira / Asana / Trello / Bitrix24 and  similar PM tools, Docker / containerd / Hyper-V / LXC / Podman, Kubernetes",EUR,45.001 - 55.000
1/31/2023 22:28:12,male,"Meal card, Gift vouchers on special occasions, Supplementary health insurance, Leaandon certain days",Abroad,Remote,51-150,Backend Developer / Engineer,Junior,0-1 Years,Python / R,TRY,20.001 - 25.000
1/31/2023 22:29:43,male,"Meal card, Supplementary health insurance, Leaandon certain days",Turkey,Remote,51-150,Backend Developer / Engineer,Mid,1-3 Years,"Javascript / Typescript and  related frameworks, SQL",TRY,37.001 - 45.000
1/31/2023 22:30:46,female,"Meal card, Supplementary health insurance, Leaandon certain days, Life insurance",Turkey,Remote,1-50,Backend Developer / Engineer,Senior,5-9 Years,Java and related frameworks,TRY,45.001 - 55.000
1/31/2023 22:31:21,male,"Meal card, Road/fuel assistance, Supplementary health insurance",Turkey,Remote,601-1.000,Backend Developer / Engineer,Junior,1-3 Years,"Java and related frameworks, SQL, Jira / Asana / Trello / Bitrix24 and  similar PM tools",TRY,20.001 - 25.000
1/31/2023 22:32:35,male,"Meal card, Supplementary health insurance, Life insurance",Abroad,Remote,151-300,Backend Developer / Engineer,Mid,3-5 Years,C# / .NET Framework,USD,25.001 - 30.000
1/31/2023 22:32:46,male,"Meal card, Supplementary health insurance",Turkey,Remote,1-50,Backend Developer / Engineer,Mid,1-3 Years,PHP,TRY,30.001 - 37.000
1/31/2023 22:34:45,male,Supplementary health insurance,Turkey,Hybrid,51-150,Backend Developer / Engineer,Mid,1-3 Years,"Javascript / Typescript and  related frameworks, Cloud tools ( AWS, Azure, GCP etc), SQL",USD,20.001 - 25.000
1/31/2023 22:36:20,male,"Meal card, Supplementary health insurance, Leaandon certain days, Medical leave",Turkey,Remote,151-300,Backend Developer / Engineer,Mid,1-3 Years,"C# / .NET Framework, SQL",TRY,30.001 - 37.000
1/31/2023 22:37:01,male,"Meal card, Road/fuel assistance, Gift vouchers on special occasions, Leaandon certain days, Retirement planning services, Medical leave",Turkey,Hybrid,10.000 and Older,Backend Developer / Engineer,Junior,0-1 Years,"C# / .NET Framework, Flutter, Cloud tools ( AWS, Azure, GCP etc), SQL, NoSQL, Jira / Asana / Trello / Bitrix24 and  similar PM tools, No-code / Low-code tools, Docker / containerd / Hyper-V / LXC / Podman, Kubernetes, MS Office",TRY,30.001 - 37.000
1/31/2023 22:38:12,male,"Meal card, Life insurance",Turkey,Remote,51-150,Backend Developer / Engineer,Senior,3-5 Years,Java and related frameworks,TRY,45.001 - 55.000
1/31/2023 22:39:53,male,"Meal card, Road/fuel assistance, Supplementary health insurance, Life insurance",Turkey,Hybrid,1.000-5.000,Backend Developer / Engineer,Mid,5-9 Years,Java and related frameworks,TRY,37.001 - 45.000
1/31/2023 22:40:43,female,,Turkey,Office,1-50,Backend Developer / Engineer,Junior,0-1 Years,Python / R,TRY,"5.001 - 8.506,80"
1/31/2023 22:43:26,male,"Meal card, Supplementary health insurance, Leaandon certain days",Turkey,Remote,1.000-5.000,Backend Developer / Engineer,Senior,5-9 Years,"C# / .NET Framework, Golang, SQL, NoSQL, Docker / containerd / Hyper-V / LXC / Podman, Kubernetes",TRY,45.001 - 55.000
1/31/2023 22:44:19,male,"Meal card, Education funds, Supplementary health insurance, Leaandon certain days, Retirement planning services, Workers compensation, Medical leave",Turkey,Hybrid,601-1.000,Backend Developer / Engineer,Junior,0-1 Years,"Java and related frameworks, PHP, Python / R, Golang, Cloud tools ( AWS, Azure, GCP etc), SQL, Jira / Asana / Trello / Bitrix24 and  similar PM tools, Docker / containerd / Hyper-V / LXC / Podman, Linux, MS Office",TRY,20.001 - 25.000
1/31/2023 22:44:37,male,"Meal card, Supplementary health insurance",Turkey,Remote,1.000-5.000,Backend Developer / Engineer,Junior,1-3 Years,"Java and related frameworks, Kotlin, Golang",TRY,30.001 - 37.000
1/31/2023 22:45:06,male,,Turkey,Remote,1-50,Backend Developer / Engineer,Senior,12 Years and Older,"Java and related frameworks, NoSQL, Docker / containerd / Hyper-V / LXC / Podman, Linux",TRY,55.001 - 70.000
1/31/2023 22:48:58,male,"Education funds, Employee stock options",Abroad,Remote,601-1.000,Backend Developer / Engineer,Mid,1-3 Years,"Javascript / Typescript and  related frameworks, Cloud tools ( AWS, Azure, GCP etc), SQL, NoSQL",EUR,55.001 - 70.000
1/31/2023 22:50:06,male,"Meal card, Education funds, Supplementary health insurance",Turkey,Remote,151-300,Backend Developer / Engineer,Senior,5-9 Years,C# / .NET Framework,TRY,37.001 - 45.000
1/31/2023 22:53:47,male,"Meal card, Supplementary health insurance",Turkey,Remote,5.000-10.000,Backend Developer / Engineer,Mid,1-3 Years,Java and related frameworks,TRY,37.001 - 45.000
1/31/2023 22:54:19,male,"Meal card, Road/fuel assistance, Education funds, Supplementary health insurance, Leaandon certain days",Turkey,Remote,51-150,Backend Developer / Engineer,Mid,3-5 Years,"C# / .NET Framework, SQL",TRY,30.001 - 37.000
1/31/2023 22:54:59,male,"Meal card, Road/fuel assistance",Turkey,Hybrid,601-1.000,Backend Developer / Engineer,Senior,5-9 Years,"C# / .NET Framework, SQL",TRY,30.001 - 37.000
1/31/2023 22:56:08,male,,Turkey,Remote,10.000 and Older,Backend Developer / Engineer,Junior,0-1 Years,"C# / .NET Framework, Java and related frameworks, SQL",TRY,130.001 - 160.000
1/31/2023 22:57:17,male,Road/fuel assistance,Turkey,Hybrid,51-150,Backend Developer / Engineer,Junior,0-1 Years,Java and related frameworks,TRY,15.001 - 18.000
1/31/2023 22:57:46,male,"Meal card, Road/fuel assistance, Gym membership/discount, Gift vouchers on special occasions, Company vehicle, Company telephone, Food aid, Education funds, Supplementary health insurance, Employee stock options, Leaandon certain days, Life insurance, Retirement planning services",Turkey,Hybrid,5.000-10.000,Backend Developer / Engineer,Junior,1-3 Years,"C# / .NET Framework, SQL, MS Office",TRY,25.001 - 30.000
1/31/2023 22:58:15,male,,Turkey,Office,1-50,Backend Developer / Engineer,Senior,9-12 Years,"C# / .NET Framework, SQL, MS Office",TRY,37.001 - 45.000
1/31/2023 22:59:00,female,"Meal card, Supplementary health insurance",Turkey,Remote,151-300,Backend Developer / Engineer,Mid,1-3 Years,"C# / .NET Framework, SQL, Jira / Asana / Trello / Bitrix24 and  similar PM tools",TRY,18.001 - 20.000
1/31/2023 22:59:16,male,"Meal card, Supplementary health insurance, Life insurance",Turkey,Hybrid,5.000-10.000,Backend Developer / Engineer,Senior,5-9 Years,Java and related frameworks,TRY,55.001 - 70.000
1/31/2023 22:59:57,male,"Meal card, Education funds, Life insurance",Turkey,Remote,601-1.000,Backend Developer / Engineer,Senior,5-9 Years,"Java and related frameworks, Javascript / Typescript and  related frameworks, Kotlin, SQL",TRY,45.001 - 55.000
1/31/2023 23:01:09,male,"Meal card, Supplementary health insurance",Turkey,Remote,5.000-10.000,Backend Developer / Engineer,Mid,1-3 Years,"Java and related frameworks, SQL, DevOps tools, Jira / Asana / Trello / Bitrix24 and  similar PM tools",TRY,30.001 - 37.000
